prototype_index,Prototype,Number of Species,Number of Atoms,Pearson Symbol,Strukturbericht Designation,AFLOW Prototype,Space Group Symbol,Space Group Number,Notes
103,C3Pu2,2,20,cI40,D5cD5_{c},A3B2_cI40_220_d_c,Iˉ43dI\bar{4}3d,220,Pu2C3 (D5c) Structure
104,Cu2Mg,2,6,cF24,C15C15,A2B_cF24_227_d_a,Fdˉ3mFd\bar{3}m,227,Cu2Mg Cubic Laves Structure (C15)
105,Bi2Te3,2,5,hR5,C33C33,A2B3_hR5_166_c_ac,Rˉ3mR\bar{3}m,166,Bi2Te3 Structure (C33)
106,AlCCr2,3,8,hP8,,ABC2_hP8_194_d_a_f,P63/mmcP6_{3}/mmc,194,AlCCr2 Structure
107,CoGa5Ho,3,7,tP7,,AB5C_tP7_123_b_ci_a,P4/mmmP4/mmm,123,HoCoGa5 Structure
108,Te,1,4,mP4,,A_mP4_4_2a,P21P2_{1},4,High–pressure Te Structure
109,NbO,2,6,cP6,,AB_cP6_221_c_d,Pmˉ3mPm\bar{3}m,221,NbO Structure
110,AsNi,2,4,hP4,B81B8_{1},AB_hP4_194_c_a,P63/mmcP6_{3}/mmc,194,NiAs (B81) Structure
111,InNi2,2,6,hP6,B82B8_{2},AB2_hP6_194_c_ad,P63/mmcP6_{3}/mmc,194,Ni2In (B82) Structure
112,O3Pb(Ti0.48)Zr0.52,3,5,mC10,,A3BC_mC10_8_ab_a_a,CmCm,8,Monoclinic PZT [Pb(ZrxTi1–x)O3] Structure
113,O2Zr,2,12,mP12,C43C43,A2B_mP12_14_2e_e,P21/cP2_{1}/c,14,"Baddeleyite (ZrO2, C43) Structure"
114,Mn,1,29,cI58,A12A12,A_cI58_217_ac2g,Iˉ43mI\bar{4}3m,217,α\alpha–Mn (A12) Structure
115,CoSn,2,6,hP6,B35B35,AB_hP6_191_f_ad,P6/mmmP6/mmm,191,CoSn (B35) Structure
116,CaCuO2,3,4,tP4,,ABC2_tP4_123_d_a_f,P4/mmmP4/mmm,123,CaCuO2 Structure
117,Si,1,8,cI16,,A_cI16_206_c,Iaˉ3Ia\bar{3},206,BC8 (Si) Structure
118,ClCu,2,16,cP16,,AB_cP16_205_c_c,Paˉ3Pa\bar{3},205,SC16 (CuCl) Structure
119,Np,1,4,tP4,AdA_{d},A_tP4_129_ac,P4/nmmP4/nmm,129,β\beta–Np (Ad) Structure
120,FeS2,2,12,aP12,,AB2_aP12_1_4a_8a,P1P1,1,FeS2 (P1) Structure
121,CaO3Ti,3,20,oP20,,AB3C_oP20_62_c_cd_a,PnmaPnma,62,CaTiO3 Pnma Perovskite Structure
122,Si2U3,2,10,tP10,D5aD5_{a},A2B3_tP10_127_g_ah,P4/mbmP4/mbm,127,Si2U3 (D5a) Structure
123,Cu2O,2,6,cP6,C3C3,A2B_cP6_224_b_a,Pnˉ3mPn\bar{3}m,224,"Cuprite (Cu2O, C3) Structure"
124,Pu,1,16,mP16,,A_mP16_11_8e,P21/mP2_{1}/m,11,α\alpha–Pu Structure
125,AsGa,2,2,oI4,,AB_oI4_44_a_b,Imm2Imm2,44,High–pressure GaAs Structure
126,SiU3,2,8,tI16,D0cD0_{c},AB3_tI16_140_b_ah,I4/mcmI4/mcm,140,SiU3 (D0c) Structure
127,CdTe,2,2,oP2,,AB_oP2_25_b_a,Pmm2Pmm2,25,High–pressure CdTe Structure
128,BaS3,2,8,tP8,D017D0_{17},AB3_tP8_113_a_ce,Pˉ421mP\bar{4}2_{1}m,113,BaS3 (D017) Structure
129,ClNa,2,2,cF8,B1B1,AB_cF8_225_a_b,Fmˉ3mFm\bar{3}m,225,"Rock Salt (NaCl, B1) Structure"
130,Mn,1,20,cP20,A13A13,A_cP20_213_cd,P4132P4_{1}32,213,β\beta–Mn (A13) Structure
131,AlB4Mg,3,6,hP6,,AB4C_hP6_191_a_h_b,P6/mmmP6/mmm,191,AlB4Mg Structure
132,Ni3S2,2,5,hR5,D5eD5_{e},A3B2_hR5_155_e_c,R32R32,155,"Hazelwoodite (Ni3S2, D5e) Structure"
133,Np,1,8,oP8,AcA_{c},A_oP8_62_2c,PnmaPnma,62,α\alpha–Np (Ac) Structure
134,Mg,1,2,hP2,A3A3,A_hP2_194_c,P63/mmcP6_{3}/mmc,194,"Hexagonal Close Packed (Mg, A3) Structure"
135,CFe3,2,16,oP16,D011D0_{11},AB3_oP16_62_c_cd,PnmaPnma,62,"Cementite (Fe3C, D011) Structure"
136,B,1,50,tP50,AgA_{g},A_tP50_134_b2m2n,P42/nnmP4_{2}/nnm,134,T–50 B (Ag) Structure
137,Br2Hg,2,6,oC12,C24C24,A2B_oC12_36_2a_a,Cmc21Cmc2_{1},36,HgBr2 (C24) Structure
138,N,1,8,cP8,,A_cP8_205_c,Paˉ3Pa\bar{3},205,α\alpha–N (Pa3) Structure
139,Fe2P,2,9,hP9,C22C22,A2B_hP9_150_ef_bd,P321P321,150,Original Fe2P (C22) Structure
140,Cu,1,1,cF4,A1A1,A_cF4_225_a,Fmˉ3mFm\bar{3}m,225,"Face–Centered Cubic (Cu, A1) Structure"
141,CuTe,2,4,oP4,,AB_oP4_59_a_b,PmmnPmmn,59,Vulcanite (CuTe) Structure
142,MoS2,2,6,hP6,C7C7,AB2_hP6_194_c_f,P63/mmcP6_{3}/mmc,194,"Molybdenite (MoS2, C7) Structure"
143,AlPd,2,26,hR26,,AB_hR26_148_b2f_a2f,Rˉ3R\bar{3},148,PdAl Structure
144,Cu5Zn8,2,26,cI52,D82D8_{2},A5B8_cI52_217_ce_cg,Iˉ43mI\bar{4}3m,217,"γ\gamma–Brass (Cu5Zn8, D82D8_{2}) Structure"
145,FeS2,2,12,cP12,C2C2,AB2_cP12_205_a_c,Paˉ3Pa\bar{3},205,"Pyrite (FeS2, C2) Structure"
146,SeTl,2,8,tI16,B37B37,AB_tI16_140_ab_h,I4/mcmI4/mcm,140,SeTl (B37) Structure
147,CuS,2,12,hP12,B18B18,AB_hP12_194_df_ce,P63/mmcP6_{3}/mmc,194,"Covellite (CuS, B18) Structure"
148,PtSn4,2,10,oC20,D1cD1_{c},AB4_oC20_41_a_2b,Aba2Aba2,41,PtSn4 Structure
149,CrFe27MoNi3,4,32,cP32,,AB27CD3_cP32_221_a_dij_b_c,Pmˉ3mPm\bar{3}m,221,Model of Austenite Structure (cP32)
150,Ba2Cu3O7–xY,4,13,oP13,,A2B3C7D_oP13_47_t_aq_eqrs_h,PmmmPmmm,47,1212C [YBa2Cu3O7–x] High–Tc Structure
151,CrFe12Ni3,3,16,cI32,,AB12C3_cI32_229_a_h_b,Imˉ3mIm\bar{3}m,229,Model of Austenite Structure (cI32)
152,Fe2P,2,9,hP9,C22C22,A2B_hP9_189_fg_bc,Pˉ62mP\bar{6}2m,189,Revised Fe2P (C22) Crystal Structure
153,CFe4,2,5,cP5,,AB4_cP5_215_a_e,Pˉ43mP\bar{4}3m,215,Fe4C Structure
154,CuS2Sb,3,16,oP16,F56F5_{6},AB2C_oP16_62_c_2c_c,PnmaPnma,62,"Chalcostibite (CuSbS2, F56)"
155,U,1,30,tP30,AbA_{b},A_tP30_136_bf2ij,P42/mnmP4_{2}/mnm,136,β\beta–U (Ab) Structure
156,CaF2,2,3,cF12,C1C1,AB2_cF12_225_a_c,Fmˉ3mFm\bar{3}m,225,"Fluorite (CaF2, C1) Structure"
157,Mg2Ni,2,18,hP18,CaC_{a},A2B_hP18_180_fi_bd,P6222P6_{2}22,180,Mg2Ni (Ca) Structure
158,C,1,2,hR2,,A_hR2_166_c,Rˉ3mR\bar{3}m,166,Rhombohedral Graphite Structure
159,CrFe18Ni8,3,27,cF108,,AB18C8_cF108_225_a_eh_f,Fmˉ3mFm\bar{3}m,225,Model of Austenite Structure (cF108)
160,AlN3Ti4,3,16,hP16,,AB3C4_hP16_194_c_af_ef,P63/mmcP6_{3}/mmc,194,AlN3Ti4 Structure
161,S3Sb2,2,20,oP20,D58D5_{8},A3B2_oP20_62_3c_2c,PnmaPnma,62,"Stibnite (Sb2S3, D58) Structure"
162,PtS,2,4,tP4,B17B17,AB_tP4_131_c_e,P42/mmcP4_{2}/mmc,131,"Cooperite (PtS, B17B17) Structure"
163,U,1,2,oC4,A20A20,A_oC4_63_c,CmcmCmcm,63,α\alpha–U (A20) Structure
164,CrFe11MoNi3,4,16,cP16,,AB11CD3_cP16_221_a_dg_b_c,Pmˉ3mPm\bar{3}m,221,Model of Ferrite Structure (cP16)
165,SnS,2,8,oP8,B29B29,AB_oP8_62_c_c,PnmaPnma,62,SnS (B29) Structure
166,MgZn2,2,12,hP12,C14C14,AB2_hP12_194_f_ah,P63/mmcP6_{3}/mmc,194,MgZn2 Hexagonal Laves (C14) Structure
167,AsCo,2,8,oP8,,AB_oP8_33_a_a,Pna21Pna2_{1},33,Modderite (CoAs) Structure
168,C,1,6,hP6,,A_hP6_194_h,P63/mmcP6_{3}/mmc,194,Hypothetical Tetrahedrally Bonded Carbon with 3–Member Rings
169,N,1,8,cP8,,A_cP8_198_2a,P213P2_{1}3,198,α\alpha–N (P213) Structure
170,AlPS4,3,12,oP12,,ABC4_oP12_16_ag_cd_2u,P222P222,16,AlPS4 Structure
171,O2Si,2,6,cF24,C9C9,A2B_cF24_227_c_a,Fdˉ3mFd\bar{3}m,227,"Ideal β\beta–Cristobalite (SiO2, C9) Structure"
172,B12U,2,13,cF52,D2fD2_{f},A12B_cF52_225_i_a,Fmˉ3mFm\bar{3}m,225,UB12 Structure
173,CFe3,2,8,hP8,,AB3_hP8_182_c_g,P6322P6_{3}22,182,Bainite (Fe3C) Structure
174,BiF3,2,4,cF16,D03D0_{3},AB3_cF16_225_a_bc,Fmˉ3mFm\bar{3}m,225,BiF3 (D03) Structure
175,Si,1,46,cP46,,A_cP46_223_dik,Pmˉ3nPm\bar{3}n,223,Si46 Clathrate Structure
176,B2Pd5,2,14,mC28,,A2B5_mC28_15_f_e2f,C2/cC2/c,15,B2Pd5 Structure
177,CdPt3,2,4,oC8,L13L1_{3},AB3_oC8_65_a_bf,CmmmCmmm,65,Predicted CdPt3 (L13) Structure
178,Ag(CKN)2,4,36,hP36,F510F5_{10},AB2CD2_hP36_163_h_i_bf_i,Pˉ31cP\bar{3}1c,163,KAg(CN)2 (F510) Structure
179,I,1,4,oC8,A14A14,A_oC8_64_f,CmcaCmca,64,Molecular Iodine (I) Crystal Structure (A14)
180,O2Ti,2,6,tI12,C5C5,A2B_tI12_141_e_a,I41/amdI4_{1}/amd,141,"Anatase (TiO2, C5) Structure"
181,Pu,1,2,oF8,,A_oF8_70_a,FdddFddd,70,γ\gamma–Pu Structure
182,NV2,2,9,hP9,,AB2_hP9_162_ad_k,Pˉ31mP\bar{3}1m,162,β\beta–V2N Structure
183,AuTe2,2,24,oP24,C46C46,AB2_oP24_28_acd_2c3d,Pma2Pma2,28,"Krennerite (AuTe2, C46) Structure"
184,Mn2O3,3,40,cI80,D53D5_{3},AB3C6_cI80_206_a_d_e,Iaˉ3Ia\bar{3},206,"Bixbyite (Mn2O3, D53) Structure"
185,Se,1,3,hP3,A8A8,A_hP3_152_a,P3121P3_{1}21,152,γ\gamma–Se (A8) Structure
186,O2Ti,2,6,tP6,C4C4,A2B_tP6_136_f_a,P42/mnmP4_{2}/mnm,136,"Rutile (TiO2, C4) Structure"
187,alpha-CO,2,8,cP8,B21B21,AB_cP8_198_a_a,P213P2_{1}3,198,α\alpha–CO (B21) Structure
188,NiTi,2,4,mP4,,AB_mP4_11_e_e,P21/mP2_{1}/m,11,NiTi Structure
189,NiSSb,3,12,cP12,F01F0_{1},ABC_cP12_198_a_a_a,P213P2_{1}3,198,"Ullmanite (NiSSb, F01) Structure"
190,beta-Po,1,1,hR1,AiA_{i},A_hR1_166_a,Rˉ3mR\bar{3}m,166,β\beta–Po (Ai) Structure
191,CrSi2,2,9,hP9,C40C40,AB2_hP9_180_d_j,P6222P6_{2}22,180,CrSi2 (C40) Structure
192,Al2CdS4,3,7,tI14,E3E3,A2BC4_tI14_82_bc_a_g,Iˉ4I\bar{4},82,CdAl2S4 (E3) Structure
193,B5Mo2,2,7,hR7,D8iD8_{i},A5B2_hR7_166_a2c_c,Rˉ3mR\bar{3}m,166,Mo2B5 (D8i) Structure
194,GeS2,2,18,oF72,C44C44,AB2_oF72_43_ab_3b,Fdd2Fdd2,43,GeS2 (C44) Structure
195,C,1,4,hP4,,A_hP4_186_ab,P63mcP6_{3}mc,186,Buckled Graphite Structure
196,ClCs,2,2,cP2,B2B2,AB_cP2_221_b_a,Pmˉ3mPm\bar{3}m,221,CsCl (B2) Structure
197,HgSn6–10,1,1,hP1,AfA_{f},A_hP1_191_a,P6/mmmP6/mmm,191,Simple Hexagonal Lattice (Af)
198,AgZn,2,9,hP9,BbB_{b},A2B_hP9_147_g_ad,Pˉ3P\bar{3},147,ζ\zeta–AgZn (Bb) Structure
199,BMo,2,8,tI16,BgB_{g},AB_tI16_141_e_e,I41/amdI4_{1}/amd,141,MoB (Bg) Structure
200,H3N,2,16,cP16,D1D1,A3B_cP16_198_b_a,P213P2_{1}3,198,"Ammonia (NH3, D1) Structure"
201,C2CeNi,3,4,oC8,,A2BC_oC8_38_e_a_b,Amm2Amm2,38,C2CeNi Structure
202,N,1,4,tP4,,A_tP4_136_f,P42/mnmP4_{2}/mnm,136,γ\gamma–N Structure
203,AlB2,2,3,hP3,C32C32,AB2_hP3_191_a_d,P6/mmmP6/mmm,191,Hexagonal ω\omega (C32) Structure
204,alpha-Hg,1,1,hR1,A10A10,A_hR1_166_a,Rˉ3mR\bar{3}m,166,α\alpha–Hg (A10) Structure
205,AsNa3,2,8,hP8,D018D0_{18},AB3_hP8_194_c_bf,P63/mmcP6_{3}/mmc,194,Na3As (D018) Structure
206,S,1,32,oF128,A16A16,A_oF128_70_4h,FdddFddd,70,α\alpha–S (A16) Structure
207,Si,1,2,tI4,,A_tI4_139_e,I4/mmmI4/mmm,139,Hypothetical BCT5 Si Structure
208,B,1,105,hR105,,A_hR105_166_bc9h4i,Rˉ3mR\bar{3}m,166,β\beta–B (R–105) Structure
209,C,1,4,hP4,A9A9,A_hP4_194_bc,P63/mmcP6_{3}/mmc,194,Hexagonal Graphite (A9) Crystal Structure
210,O4SiZr,3,12,tI24,S11S1_{1},A4BC_tI24_141_h_b_a,I41/amdI4_{1}/amd,141,"Zircon (ZrSiO4, S11S1_{1}) Structure"
211,BO4P,3,6,tI12,H07H0_{7},AB4C_tI12_82_c_g_a,Iˉ4I\bar{4},82,BPO4 (H07) Structure
212,FeS2,2,6,oP6,C18C18,AB2_oP6_58_a_g,PnnmPnnm,58,"Marcasite (FeS2, C18) Structure"
213,CaO3Ti,3,5,cP5,E21E2_{1},AB3C_cP5_221_a_c_b,Pmˉ3mPm\bar{3}m,221,"Cubic Perovskite (CaTiO3, E21) Structure"
214,CdSb,2,16,oP16,BeB_{e},AB_oP16_61_c_c,PbcaPbca,61,CdSb (Be) Structure
215,Se,1,32,mP32,AlA_{l},A_mP32_14_8e,P21/cP2_{1}/c,14,β\beta–Se (Al) Structure
216,SZn,2,4,hP4,B4B4,AB_hP4_186_b_b,P63mcP6_{3}mc,186,"Wurtzite (ZnS, B4) Structure"
217,IrV,2,4,oC8,,AB_oC8_65_j_g,CmmmCmmm,65,α\alpha–IrV Crystal Structure
218,BCLi,3,6,hP6,,ABC_hP6_194_c_d_a,P63/mmcP6_{3}/mmc,194,LiBC Structure
219,CTi2,2,12,cF48,,AB2_cF48_227_c_e,Fdˉ3mFd\bar{3}m,227,CTi2 Structure
220,F4Si,2,5,cI10,D12D1_{2},A4B_cI10_217_c_a,Iˉ43mI\bar{4}3m,217,SiF4 (D12D1_{2}) Structure
221,P,1,84,mP84,,A_mP84_13_21g,P2/cP2/c,13,Monoclinic (Hittorf's) Phosphorus Structure
222,H3Ho,2,24,hP24,,A3B_hP24_165_adg_f,Pˉ3c1P\bar{3}c1,165,H3Ho Structure
223,B6Ca,2,7,cP7,D21D2_{1},A6B_cP7_221_f_a,Pmˉ3mPm\bar{3}m,221,CaB6 (D21) Structure
224,O2Si,2,9,hP9,,A2B_hP9_152_c_a,P3121P3_{1}21,152,α\alpha–Quartz (low Quartz) Structure
225,CuFeS2,3,8,tI16,E11E1_{1},ABC2_tI16_122_a_b_d,Iˉ42dI\bar{4}2d,122,"Chalcopyrite (CuFeS2, E11) Structure"
226,Ga4Ni3,2,56,cI112,,A4B3_cI112_230_af_g,Iaˉ3dIa\bar{3}d,230,Ga4Ni3 Structure
227,BCr,2,4,oC8,B33B33,AB_oC8_63_c_c,CmcmCmcm,63,CrB (B33) Structure
228,NiTi2,2,24,cF96,,AB2_cF96_227_e_cf,Fdˉ3mFd\bar{3}m,227,NiTi2 Structure
229,Al4Ba,2,5,tI10,D13D1_{3},A4B_tI10_139_de_a,I4/mmmI4/mmm,139,Al4Ba (D13) Structure
230,PdSn2,2,12,oC24,CeC_{e},AB2_oC24_41_2a_2b,Aba2Aba2,41,PdSn2 (Ce) Structure
231,Al12W,2,13,cI26,,A12B_cI26_204_g_a,Imˉ3Im\bar{3},204,Al12W Structure
232,SZn,2,2,cF8,B3B3,AB_cF8_216_c_a,Fˉ43mF\bar{4}3m,216,"Zincblende (ZnS, B3) Structure"
233,NaTl,2,4,cF16,B32B32,AB_cF16_227_a_b,Fdˉ3mFd\bar{3}m,227,NaTl (B32) Structure
234,CaCl2,2,6,oP6,C35C35,AB2_oP6_58_a_g,PnnmPnnm,58,"Hydrophilite (CaCl2, C35) Structure"
235,alpha-As,1,2,hR2,A7A7,A_hR2_166_c,Rˉ3mR\bar{3}m,166,α\alpha–As (A7) Structure
236,Pu,1,17,mC34,,A_mC34_12_ah3i2j,C2/mC2/m,12,β\beta–Pu Structure
237,B4Mg,2,20,oP20,,A4B_oP20_62_2cd_c,PnmaPnma,62,MgB4 Structure
238,Cu2Sb,2,6,tP6,C38C38,A2B_tP6_129_ac_c,P4/nmmP4/nmm,129,Cu2Sb (C38) Structure
239,In2S3,2,40,tI80,,A2B3_tI80_141_ceh_3h,I41/amdI4_{1}/amd,141,β\beta–In2S3 Crystal Structure
240,CFe3W3,3,28,cF112,E93E9_{3},AB3C3_cF112_227_c_de_f,Fdˉ3mFd\bar{3}m,227,Fe3W3C Structure
241,FeO3Ti,3,10,hR10,E22E2_{2},AB3C_hR10_148_c_f_c,Rˉ3R\bar{3},148,"Ilmenite (FeTiO3, E22E2_{2}) Structure"
242,PPrS4,3,48,tI96,,ABC4_tI96_142_e_ab_2g,I41/acdI4_{1}/acd,142,PPrS4 Structure
243,Mn12Th,2,13,tI26,D2bD2_{b},A12B_tI26_139_fij_a,I4/mmmI4/mmm,139,Mn12Th (D2b) Structure
244,CuO2Sr,3,8,oC16,,AB2C_oC16_63_c_2c_c,CmcmCmcm,63,SrCuO2 Structure
245,CuLa2O4,3,7,tI14,,AB2C4_tI14_139_a_e_ce,I4/mmmI4/mmm,139,"0201 [(La,Ba)2CuO4] High–Tc Structure"
246,Sn,1,2,tI4,A5A5,A_tI4_141_a,I41/amdI4_{1}/amd,141,β\beta–Sn (A5) Structure
247,Au5Mn2,2,7,mC14,,A5B2_mC14_12_a2i_i,C2/mC2/m,12,Au5Mn2 Structure
248,CSi,2,8,hP8,B5B5,AB_hP8_186_ab_ab,P63mcP6_{3}mc,186,Moissanite–4H SiC (B5) Structure
249,AlCl3,2,8,mC16,D015D0_{15},AB3_mC16_12_g_ij,C2/mC2/m,12,AlCl3 (D015) Structure
250,C6Ca,2,7,hR7,,A6B_hR7_166_g_a,Rˉ3mR\bar{3}m,166,CaC6 Structure
251,H2Th,2,3,tI6,L′2L'2,A2B_tI6_139_d_a,I4/mmmI4/mmm,139,ThH2 (L'2) Structure
252,AlF3,2,8,hR8,D014D0_{14},AB3_hR8_155_c_de,R32R32,155,AlF3 (D014) Structure
253,PbCl2,2,12,oP12,C23C23,A2B_oP12_62_2c_c,PnmaPnma,62,"Cotunnite (PbCl2, C23) Structure"
254,CaIn2,2,6,hP6,,AB2_hP6_194_b_f,P63/mmcP6_{3}/mmc,194,CaIn2 Structure
255,C3Cr7,2,40,oP40,D101D10_{1},A3B7_oP40_62_cd_3c2d,PnmaPnma,62,C3Cr7 (D101) Structure
256,Cu2Te,2,6,hP6,ChC_{h},A2B_hP6_191_h_e,P6/mmmP6/mmm,191,Cu2Te (Ch) Structure
257,S2Si,2,6,oI12,C42C42,A2B_oI12_72_j_a,IbamIbam,72,SiS2 Structure
258,Si2Ti,2,6,oF24,C54C54,A2B_oF24_70_e_a,FdddFddd,70,TiSi2 (C54) Structure
259,O2Si,2,12,oC24,,A2B_oC24_20_abc_c,C2221C222_{1},20,Orthorhombic Tridymite (SiO2) Structure
260,AsCu3S4,3,8,cP8,,AB3C4_cP8_215_a_c_e,Pˉ43mP\bar{4}3m,215,Cubic Lazarevićite (AsCu3S4) Structure
261,beta-O,1,2,hR2,,A_hR2_166_c,Rˉ3mR\bar{3}m,166,β\beta–O Structure
262,O2Si,2,12,hP12,C10C10,A2B_hP12_194_cg_f,P63/mmcP6_{3}/mmc,194,β\beta–Tridymite (SiO2) Structure (C10)
263,Te4Ti5,2,9,tI18,,A4B5_tI18_87_h_ah,I4/mI4/m,87,Ti5Te4 Structure
264,La,1,4,hP4,A3′A3',A_hP4_194_ac,P63/mmcP6_{3}/mmc,194,α\alpha–La (A3') Structure
265,CMo,2,12,hP12,,AB_hP12_194_af_bf,P63/mmcP6_{3}/mmc,194,CMo Structure
266,O3Sb2,2,20,oP20,D511D5_{11},A3B2_oP20_56_ce_e,PccnPccn,56,Sb2O3 (D511) Structure
267,Au2V,2,6,oC12,,A2B_oC12_38_de_ab,Amm2Amm2,38,Au2V Structure
268,AgAuTe4,3,12,mP12,E1bE1_{b},ABC4_mP12_13_e_a_2g,P2/cP2/c,13,"Sylvanite (AgAuTe4, E1b) Structure"
269,Pt8Ti,2,9,tI18,,A8B_tI18_139_hi_a,I4/mmmI4/mmm,139,Pt8Ti Structure
270,Cf,1,4,aP4,,A_aP4_2_aci,Pˉ1P\bar{1},2,Cf Structure
271,Ga3Pt5,2,8,oC16,,A3B5_oC16_65_ah_bej,CmmmCmmm,65,Ga3Pt5 Structure
272,I4P2,2,6,aP6,,A2B_aP6_2_2i_i,Pˉ1P\bar{1},2,P2I4 Structure
273,P,1,4,oC8,A17A17,A_oC8_64_f,CmcaCmca,64,Black Phosphorus (A17) Crystal Structure
274,MoPt2,2,3,oI6,,AB2_oI6_71_a_g,ImmmImmm,71,MoPt2 Structure
275,C8H8,2,16,hR16,,AB_hR16_148_cf_cf,Rˉ3R\bar{3},148,Solid Cubane (C8H8) Structure
276,Co2Si,2,12,oP12,C37C37,A2B_oP12_62_2c_c,PnmaPnma,62,Co2Si (C37) Structure
277,W,1,1,cI2,A2A2,A_cI2_229_a,Imˉ3mIm\bar{3}m,229,"Body–Centered Cubic (W, A2) Structure"
278,MoSi2,2,3,tI6,C11bC11_{b},AB2_tI6_139_a_e,I4/mmmI4/mmm,139,MoSi2 (C11b) Structure
279,Cl,1,16,tP16,A18A18,A_tP16_138_j,P42/ncmP4_{2}/ncm,138,Cl (A18) Structure
280,ClFPb,3,6,tP6,E01E0_{1},ABC_tP6_129_c_a_c,P4/nmmP4/nmm,129,"Matlockite (E01, PbFCl) Structure"
281,C,1,2,cF8,A4A4,A_cF8_227_a,Fdˉ3mFd\bar{3}m,227,Diamond (A4) Structure
282,CdI2,2,3,hP3,C6C6,AB2_hP3_164_a_d,Pˉ3m1P\bar{3}m1,164,ω\omega (C6) Phase
283,AsKSe2,3,16,aP16,,ABC2_aP16_1_4a_4a_8a,P1P1,1,AsKSe2 (P1) Structure
284,Ni3Sn,2,8,hP8,D019D0_{19},A3B_hP8_194_h_c,P63/mmcP6_{3}/mmc,194,Ni3Sn (D019) Structure
285,AlCu2Mn,3,4,cF16,L21L2_{1},AB2C_cF16_225_a_c_b,Fmˉ3mFm\bar{3}m,225,Heusler (L21) Structure
286,BN,2,4,hP4,BkB_{k},AB_hP4_194_c_d,P63/mmcP6_{3}/mmc,194,BN (Bk) Structure
287,In,1,1,tI2,A6A6,A_tI2_139_a,I4/mmmI4/mmm,139,In (A6) Structure
288,As2Ba,2,18,mP18,,A2B_mP18_7_6a_3a,PcPc,7,As2Ba Structure
289,ClH,2,4,oC8,,AB_oC8_36_a_a,Cmc21Cmc2_{1},36,HCl Structure
290,Mn5Si3,2,16,hP16,D88D8_{8},A5B3_hP16_193_dg_g,P63/mcmP6_{3}/mcm,193,"Mavlyanovite (Mn5Si3, D88D8_{8}) Structure"
291,Al2Ca3O6,3,33,cP33,E91E9_{1},A2B3C6_cP33_221_cd_ag_fh,Pmˉ3mPm\bar{3}m,221,Ca3Al2O6 (E91E9_{1}) Structure
292,P12PrRu4,3,34,cP34,,A12BC4_cP34_195_2j_ab_2e,P23P23,195,PrRu4P12 Structure
293,NaZn,2,28,cF112,D23D2_{3},AB13_cF112_226_a_bi,Fmˉ3cFm\bar{3}c,226,NaZn13 (D23D2_{3}) Structure
294,P4Th3,2,14,cI28,D73D7_{3},A4B3_cI28_220_c_a,Iˉ43dI\bar{4}3d,220,Th3P4 (D73D7_{3}) Structure
295,Ag3IS,3,5,hR5,,A3BC_hR5_146_b_a_a,R3R3,146,γ\gamma–Ag3SI (Low–temperature) Structure
296,AlO4P,2,72,hP72,,AB2_hP72_192_m_j2kl,P6/mccP6/mcc,192,AlPO4 Structure
297,O3W,2,16,mP16,,A3B_mP16_7_6a_2a,PcPc,7,ϵ\epsilon–WO3 (Low–temperature) Structure
298,La2NiO4,3,28,oP28,,A2BC4_oP28_50_ij_ac_ijm,PbanPban,50,La2NiO4 Structure
299,Al2S3,2,30,hP30,,A2B3_hP30_170_2a_3a,P65P6_{5},170,Al2S3 Structure
300,Co3O4,2,14,cF56,D72D7_{2},A3B4_cF56_227_ad_e,Fdˉ3mFd\bar{3}m,227,"Spinel (Co3O4, D72D7_{2}) Structure"
301,Bi2O3,2,20,hP20,,A2B3_hP20_159_bc_2c,P31cP31c,159,Bi2O3 (High–pressure) Structure
302,B2H)6MgOO(,4,64,tP64,,A2B6CD7_tP64_77_2d_6d_d_ab6d,P42P4_{2},77,Pinnoite (MgB2O(OH)6) Structure
303,B4CeCo4,3,18,tP18,,A4BC4_tP18_137_g_b_g,P42/nmcP4_{2}/nmc,137,CeCo4B4 Structure
304,NbO2,2,48,tI96,,AB2_tI96_88_2f_4f,I41/aI4_{1}/a,88,α\alpha–NbO2 Structure
305,Ni3P,2,16,tI32,D0eD0_{e},A3B_tI32_82_3g_g,Iˉ4I\bar{4},82,Ni3P (D0eD0_{e}) Structure
306,O10W3,2,13,oF52,,A10B3_oF52_42_2abce_ab,Fmm2Fmm2,42,W3O10 Structure
307,BaO4S,3,24,oP24,H02H0_{2},AB4C_oP24_62_c_2cd_c,PnmaPnma,62,"Barite (BaSO4, H02H0_{2}) Structure"
308,Ba2O8Si2Ti,4,26,tP26,,A2B8C2D_tP26_100_c_abcd_c_a,P4bmP4bm,100,Fresnoite (Ba2TiSi2O8) Structure
309,CCu2Fe[N]6,3,15,cF60,,A12B2C_cF60_196_h_bc_a,F23F23,196,Cu2Fe[CN]6 Structure
310,Ge3Ti2,2,10,tP10,,A3B2_tP10_83_adk_j,P4/mP4/m,83,Ti2Ge3 Structure
311,ISSm,3,6,hR6,,ABC_hR6_166_c_c_c,Rˉ3mR\bar{3}m,166,SmSI Structure
312,Ag5O6Pb2,3,13,hP13,,A5B6C2_hP13_157_2ac_2c_b,P31mP31m,157,Ag5Pb2O6 Structure
313,Mg2O4Si,3,28,oP28,S12S1_{2},A2B4C_oP28_62_ac_2cd_c,PnmaPnma,62,"Forsterite (Mg2SiO4, S12S1_{2}) Structure"
