prototype_index,Prototype,Number of Species,Number of Atoms,Pearson Symbol,Strukturbericht Designation,AFLOW Prototype,Space Group Symbol,Space Group Number,Notes
547,CsMoO4]2Pr[,4,24,oP24,,AB2C8D_oP24_49_g_q_2qr_e,PccmPccm,49,CsPr[MoO4]2 Structure
548,MgOS,3,12,oC24,,AB4C_oC24_63_a_fg_c,CmcmCmcm,63,MgSO4 Structure
549,O3W,2,32,oP32,,A3B_oP32_60_3d_d,PbcnPbcn,60,WO3 Structure
550,Fe3Te3Tl,3,14,hP14,,A3B3C_hP14_176_h_h_c,P63/mP6_{3}/m,176,Fe3Te3Tl Structure
551,MoO4]2Pr[Rb,4,24,oP24,,A2B8CD_oP24_48_k_2m_d_b,PnnnPnnn,48,α\alpha–RbPr[MoO4]2 Structure
552,AsCeMe8P4Ph4S8,5,184,tP184,,AB32CD4E8_tP184_93_i_16p_af_2p_4p,P4222P4_{2}22,93,AsPh4CeS8P4Me8 Structure
553,Ga3Rb,2,12,tI24,,A3B_tI24_119_b2i_af,Iˉ4m2I\bar{4}m2,119,RbGa3 Structure
554,S2Ta3,2,20,oC40,,A2B3_oC40_39_2d_2c2d,Abm2Abm2,39,Ta3S2 Structure
555,AuLiMgSn,4,4,cF16,,ABCD_cF16_216_c_d_b_a,Fˉ43mF\bar{4}3m,216,Quaternary Heusler (LiMgAuSn) Structure
556,COS,3,3,hR3,F02F0_{2},ABC_hR3_160_a_a_a,R3mR3m,160,"Carbonyl Sulphide (COS, F02F0_{2}) Structure"
557,Bi2O3,2,20,tP20,D512D5_{12},A2B3_tP20_117_i_adgh,Pˉ4b2P\bar{4}b2,117,"β\beta–Bi2O3 (High–temperature, D512D5_{12}) Structure"
558,C,1,240,cP240,,A_cP240_205_10d,Paˉ3Pa\bar{3},205,Simple Cubic C60 Buckminsterfullerene Structure
559,H3S,2,32,oC64,,A3B_oC64_66_gi2lm_2l,CccmCccm,66,H3S (60 GPa) Structure
560,CuNiSb,3,4,hP4,,ABC2_hP4_164_a_b_d,Pˉ3m1P\bar{3}m1,164,CuNiSb2 Structure
561,CrFe3NiSn5,2,6,hP6,,AB_hP6_183_c_ab,P6mmP6mm,183,CrFe3NiSn5 Structure
562,CSi,2,10,hR10,B7B7,AB_hR10_160_5a_5a,R3mR3m,160,"Moissanite–15R (SiC, B7B7) Structure"
563,Sb2TlZn2,3,10,tI20,,A2BC2_tI20_79_c_2a_c,I4I4,79,TlZn2Sb2 Structure
564,Er3Ru2,2,10,hP10,,A3B2_hP10_176_h_bc,P63/mP6_{3}/m,176,Er3Ru2 Structure
565,PbO,2,4,oC8,,AB_oC8_67_a_g,CmmaCmma,67,α\alpha–PbO Structure
566,Al9Mn3Si,3,26,hP26,E9cE9_{c},A9B3C_hP26_194_hk_h_a,P63/mmcP6_{3}/mmc,194,Al9Mn3Si (E9cE9_{c}) Structure
567,KO3Sb,3,60,cP60,,AB3C_cP60_201_be_fh_g,Pnˉ3Pn\bar{3},201,KSbO3 (High–temperature) Structure
568,AsNa3,2,24,hP24,,AB3_hP24_185_c_ab2c,P63cmP6_{3}cm,185,Na3As Structure
569,F4K2O9Ta4,3,57,hP57,,A2B13C4_hP57_168_d_c6d_2d,P6P6,168,K2Ta4O9F4 Structure
570,AsRb3Se16,3,40,cF160,,AB3C16_cF160_203_a_bc_eg,Fdˉ3Fd\bar{3},203,Rb3AsSe16 Structure
571,FePSe3,3,10,hR10,,ABC3_hR10_146_2a_2a_2b,R3R3,146,FePSe3 Structure
572,Cl2Ga,2,24,oP24,,A2B_oP24_52_2e_cd,PnnaPnna,52,GaCl2 (High–temperature) Structure
573,O3TeTl2,3,48,oP48,,A3BC2_oP48_50_3m_m_2m,PbanPban,50,α\alpha–Tl2TeO3 Structure
574,BCTh,3,24,tP24,,ABC_tP24_95_d_d_d,P4322P4_{3}22,95,ThBC Structure
575,CdI2,2,9,hP9,,AB2_hP9_156_b2c_3a2bc,P3m1P3m1,156,CdI2 (Polytype 6H1) Structure
576,"O7Sc,Si2Y]2",3,11,mC22,S21S2_{1},A7B2C2_mC22_12_aij_h_i,C2/mC2/m,12,"Thortveitite ([Sc,Y]2Si2O7, S21S2_{1}) Structure"
577,H,1,12,mC24,,A_mC24_15_2e2f,C2/cC2/c,15,H–III (300 GPa) Structure
578,Cl4Th,2,10,tI20,,A4B_tI20_88_f_a,I41/aI4_{1}/a,88,ThCl4 Structure
579,O2Si,2,36,hP36,,A2B_hP36_177_j2lm_n,P622P622,177,SiO2 Structure
580,Al2CuIr,3,8,oC16,,A2BC_oC16_67_ag_b_g,CmmaCmma,67,Al2CuIr Structure
581,NiTaTe2,3,16,oP16,,ABC2_oP16_53_h_e_gh,PmnaPmna,53,TaNiTe2 Structure
582,Ba5Bi5In4,3,28,tP28,,A5B5C4_tP28_104_ac_ac_c,P4ncP4nc,104,Ba5In4Bi5 Structure
583,O4Sb2Zn,3,28,tP28,,A4B2C_tP28_135_gh_h_d,P42/mbcP4_{2}/mbc,135,ZnSb2O4 Structure
584,Ca3I3P,3,28,cI56,,A3B3C_cI56_214_g_h_a,I4132I4_{1}32,214,Ca3PI3 Structure
585,Ga5Ir3,2,32,tP32,,A5B3_tP32_118_g2i_aceh,Pˉ4n2P\bar{4}n2,118,Ir3Ga5 Structure
586,Fe3Zn10,2,26,cI52,D81D8_{1},A3B10_cI52_229_e_fh,Imˉ3mIm\bar{3}m,229,"γ\gamma–brass (Fe3Zn10, D81D8_{1}) Structure"
587,AuF3,2,24,hP24,,AB3_hP24_178_b_ac,P6122P6_{1}22,178,AuF3 Structure
588,BaSi,2,32,tP32,,A5B3_tP32_130_cg_cf,P4/nccP4/ncc,130,Ba5Si3 Structure
589,Cl3Cr,2,24,hP24,,A3B_hP24_153_3c_2b,P3212P3_{2}12,153,CrCl3 Structure
