,id,wyckoff_sites,lattice_params,basis_params,lattice_params_value,basis_params_value,pearson_symbol,space_group,prototype
353,hP14-N4Si3-173,"['bc', 'c']","['a', 'c/a']","['z1', 'x2', 'y2', 'z2', 'x3', 'y3', 'z3']","[7.603038022, 0.382612126795]","[0.0, 0.3284, 0.0313, 0.05, 0.2314, 0.4063, 0.013]",hP14,173,N4Si3
354,tP10-As4CaFe4Rb-123,"['gh', 'a', 'i', 'd']","['a', 'c/a']","['z3', 'z4', 'z5']","[3.8757, 3.38106664603]","[0.3336, 0.1193, 0.2246]",tP10,123,As4CaFe4Rb
355,mP4-FeNi-6,"['bb', 'aa']","['a', 'b/a', 'c/a', 'beta']","['x1', 'z1', 'x2', 'z2', 'x3', 'z3', 'x4', 'z4']","[3.580975428, 1.00027925162, 1.00167550965, 90.04]","[0.0, 0.0, 0.518, 0.507, 0.026, 0.501, 0.529, 0.027]",mP4,6,FeNi
356,tP12-F2Mn-111,"['nn', 'adf']","['a', 'c/a']","['x4', 'z4', 'x5', 'z5']","[5.1219931862, 1.02616165562]","[0.205, 0.28, 0.301, 0.622]",tP12,111,F2Mn
357,oP12-Ag2Se-17,"['abe', 'e']","['a', 'b/a', 'c/a']","['x1', 'x2', 'x3', 'y3', 'z3', 'x4', 'y4', 'z4']","[7.0499703347, 1.11347517732, 0.614184397158]","[0.893, 0.878, 0.379, 0.225, 0.522, 0.202, 0.275, 0.022]",oP12,17,Ag2Se
358,hP4-CuI-156,"['ab', 'ab']","['a', 'c/a']","['z1', 'z2', 'z3', 'z4']","[4.2794836776, 1.67515774714]","[0.636, 0.0, 0.894, 0.5]",hP4,156,CuI
359,tP40-Cs3P7-76,"['aaa', 'aaaaaaa']","['a', 'c/a']","['x1', 'y1', 'z1', 'x2', 'y2', 'z2', 'x3', 'y3', 'z3', 'x4', 'y4', 'z4', 'x5', 'y5', 'z5', 'x6', 'y6', 'z6', 'x7', 'y7', 'z7', 'x8', 'y8', 'z8', 'x9', 'y9', 'z9', 'x10', 'y10', 'z10']","[9.046, 1.84766747734]","[0.7435, 0.3852, 0.0, 0.4169, 0.733, 0.8359, 0.026, 0.8404, -0.0086, 0.79, 0.6, 0.8105, 0.443, 0.095, -0.053, 0.106, 0.473, 0.8928, 0.357, 0.024, 0.061, 0.629, 0.794, 0.017, -0.002, 0.341, 0.7049, 0.011, 0.29, 0.84]",tP40,76,Cs3P7
360,tP22-HgI6Tl4-104,"['a', 'aac', 'c']","['a', 'c/a']","['z1', 'z2', 'z3', 'x4', 'y4', 'z4', 'x5', 'y5', 'z5']","[9.3940153509, 0.981690440703]","[0.786, 0.5, 0.0649, 0.8297, 0.6458, 0.286, 0.6491, 0.8588, 0.036]",tP22,104,HgI6Tl4
361,hP30-Al2S3-169,"['aa', 'aaa']","['a', 'c/a']","['x1', 'y1', 'z1', 'x2', 'y2', 'z2', 'x3', 'y3', 'z3', 'x4', 'y4', 'z4', 'x5', 'y5', 'z5']","[6.4300116544, 2.78071539658]","[0.013, 0.3579, 0.12736, 0.3339, 0.3226, 0.29886, 0.3347, 0.0, 0.004, 0.0119, 0.3343, 0.0, 0.338, 0.0064, 0.33823]",hP30,169,Al2S3
362,tP10-NbTe4-103,"['a', 'd']","['a', 'c/a']","['z1', 'x2', 'y2', 'z2']","[6.5509768136, 1.04518394138]","[0.0, 0.144, 0.3276, 0.242]",tP10,103,NbTe4
363,hP28-BaO9Si4-188,"['e', 'kl', 'ak']","['a', 'c/a']","['x3', 'y3', 'x4', 'y4', 'x5', 'y5', 'z5']","[6.4953629976, 1.43896355826]","[0.07103, 0.48306, 0.12023, 0.75436, 0.22923, 0.00127, 0.6032]",hP28,188,BaO9Si4
364,cP52-Al4Cu9-215,"['ei', 'eeefgi']",['a'],"['x1', 'x2', 'x3', 'x4', 'x5', 'x6', 'x7', 'z7', 'x8', 'z8']",[8.7068],"[0.1157, 0.8296, 0.3253, 0.6066, 0.3534, 0.8549, 0.8113, 0.5332, 0.3153, 0.0322]",cP52,215,Al4Cu9
365,hP12-MoS2-143,"['cd', 'abdd']","['a', 'c/a']","['z1', 'z2', 'z3', 'x4', 'y4', 'z4', 'x5', 'y5', 'z5', 'x6', 'y6', 'z6']","[6.5003859369, 0.944615384626]","[0.0, 0.5, 0.25, 0.0548, 0.2679, 0.25, 0.33333, 0.16667, 0.5, 0.0, 0.5, 0.0]",hP12,143,MoS2
366,cI76-Cu15Si4-220,"['ae', 'c']",['a'],"['x2', 'x3', 'y3', 'z3']",[9.718],"[-0.042, 0.12, 0.16, -0.04]",cI76,220,Cu15Si4
367,tP64-H]3NaOZn[-106,"['ccc', 'c', 'ccc', 'c']","['a', 'c/a']","['x1', 'y1', 'z1', 'x2', 'y2', 'z2', 'x3', 'y3', 'z3', 'x4', 'y4', 'z4', 'x5', 'y5', 'z5', 'x6', 'y6', 'z6', 'x7', 'y7', 'z7', 'x8', 'y8', 'z8']","[10.8312004139, 0.492105992062]","[0.836, 0.614, 0.2, 0.531, 0.845, 0.11, 0.858, 0.825, 0.08, 0.5929, 0.62036, 0.0343, 0.8146, 0.6194, 0.0688, 0.5681, 0.8298, 0.1322, 0.8669, -0.0994, 0.0636, 0.69285, -0.05677, 0.0]",tP64,106,H]3NaOZn[
368,hP21-Fe12P7Zr2-174,"['jjkk', 'ajk', 'cf']","['a', 'c/a']","['x4', 'y4', 'x5', 'y5', 'x6', 'y6', 'x7', 'y7', 'x8', 'y8', 'x9', 'y9']","[9.0004021308, 0.399102242177]","[0.4309, 0.3719, 0.1189, 0.2772, 0.4163, 0.1204, 0.0495, 0.4359, 0.2232, 0.124, 0.2889, 0.4096]",hP21,174,Fe12P7Zr2
369,tP10-Pb4Pt-125,"['m', 'a']","['a', 'c/a']","['x2', 'z2']","[6.6398746049, 0.899096385539]","[0.425, 0.255]",tP10,125,Pb4Pt
370,cP64-Pd17Se15-207,"['acfk', 'eij']",['a'],"['x3', 'x4', 'y5', 'y6', 'x7', 'y7', 'z7']",[10.6058825779],"[0.2422, 0.2622, 0.3319, 0.2701, 0.142, 0.1539, 0.3498]",cP64,207,Pd17Se15
371,hP4-NRe3-187,"['e', 'fh']","['a', 'c/a']",['z3'],"[2.8065, 2.53411722786]",[0.198],hP4,187,NRe3
372,oI12-NbPS-71,"['h', 'j', 'g']","['a', 'b/a', 'c/a']","['y1', 'y2', 'z3']","[3.438, 3.4554973822, 1.37434554974]","[0.212, 0.1232, 0.235]",oI12,71,NbPS
373,tP76-BaCr2O12Ru4-75,"['aabb', 'dd', 'dddddddddddd', 'dddd']","['a', 'c/a']","['z1', 'z2', 'z3', 'z4', 'x5', 'y5', 'z5', 'x6', 'y6', 'z6', 'x7', 'y7', 'z7', 'x8', 'y8', 'z8', 'x9', 'y9', 'z9', 'x10', 'y10', 'z10', 'x11', 'y11', 'z11', 'x12', 'y12', 'z12', 'x13', 'y13', 'z13', 'x14', 'y14', 'z14', 'x15', 'y15', 'z15', 'x16', 'y16', 'z16', 'x17', 'y17', 'z17', 'x18', 'y18', 'z18', 'x19', 'y19', 'z19', 'x20', 'y20', 'z20', 'x21', 'y21', 'z21', 'x22', 'y22', 'z22']","[9.8880614494, 0.922431229769]","[0.3333, 0.0, 0.5003, 0.1666, 0.167, 0.348, 0.1666, 0.333, 0.152, 0.0, 0.208, 0.152, 0.8333, 0.458, 0.152, 0.8333, 0.292, 0.348, 0.6666, 0.042, 0.348, 0.6666, 0.208, 0.152, 0.5, 0.458, 0.152, 0.5, 0.292, 0.348, 0.3333, 0.042, 0.348, 0.3333, 0.208, 0.152, 0.1666, 0.458, 0.152, 0.1666, 0.292, 0.348, 0.0, 0.042, 0.348, 0.0, 0.167, 0.348, 0.8333, 0.333, 0.152, 0.6666, 0.167, 0.348, 0.5, 0.333, 0.152, 0.3333]",tP76,75,BaCr2O12Ru4
374,tP28-Al2BiS4-126,"['cd', 'e', 'k']","['a', 'c/a']","['z3', 'x4', 'y4', 'z4']","[7.4920241479, 1.58609183128]","[0.11808, 0.0865, 0.5924, 0.1254]",tP28,126,Al2BiS4
