,id,wyckoff_sites,lattice_params,basis_params,lattice_params_value,basis_params_value,pearson_symbol,space_group,prototype
406,hP9-HIINW2-164,"['bd', 'cdd']","['a', 'c/a']","['z2', 'z3', 'z4', 'z5']","[2.89, 7.90657439446]","[0.0607, 0.154, 0.27263, 0.39403]",hP9,164,HIINW2
407,hP15-Ge4Ir-144,"['aaaa', 'a']","['a', 'c/a']","['x1', 'y1', 'z1', 'x2', 'y2', 'z2', 'x3', 'y3', 'z3', 'x4', 'y4', 'z4', 'x5', 'y5', 'z5']","[6.2151204722, 1.25245374096]","[0.4904, 0.2194, 0.2268, 0.2226, 0.4873, 0.1142, 0.0775, 0.0012, 0.0, 0.6097, 0.0014, 0.0018, 0.3178, 0.0008, 0.5062]",hP15,144,Ge4Ir
408,tI12-LaPtSi-109,"['a', 'a', 'a']","['a', 'c/a']","['z1', 'z2', 'z3']","[4.2490694941, 3.42174629325]","[0.081, 0.666, 0.5]",tI12,109,LaPtSi
409,tP40-H2Na4O22[O]4Si8Ti2-90,"['g', 'd', 'cefgg', 'c']","['a', 'c/a']","['z1', 'z2', 'z3', 'x4', 'x5', 'x6', 'y6', 'z6', 'x7', 'y7', 'z7', 'x8', 'y8', 'z8']","[7.3739946979, 1.45226471387]","[-0.0654, 0.7769, 0.83072, 0.6476, 0.7846, 0.648, 0.751, 0.001, 0.7502, 0.5354, 0.32757, 0.7289, 0.8811, 0.2635]",tP40,90,H2Na4O22[O]4Si8Ti2
410,oP46-Bi5Nb3O15-30,"['acc', 'bc', 'accccccc']","['a', 'b/a', 'c/a']","['z1', 'z2', 'z3', 'x4', 'y4', 'z4', 'x5', 'y5', 'z5', 'x6', 'y6', 'z6', 'x7', 'y7', 'z7', 'x8', 'y8', 'z8', 'x9', 'y9', 'z9', 'x10', 'y10', 'z10', 'x11', 'y11', 'z11', 'x12', 'y12', 'z12', 'x13', 'y13', 'z13']","[5.4630061801, 1.00183049606, 3.84605528098]","[0.5, 0.107, 0.523, 0.2442, 0.513, 0.019, 0.3675, 0.026, 0.016, 0.1074, 0.003, 0.02, 0.1949, 0.05, 0.074, 0.097, 0.687, 0.22, 0.0844, 0.254, 0.226, 0.413, 0.52, 0.105, 0.505, 0.718, 0.31, 0.305, 0.763, 0.271, 0.695, 0.752, 0.289]",oP46,30,Bi5Nb3O15
411,cF104-B6H6K-202,"['h', 'h', 'c']",['a'],"['y2', 'z2', 'y3', 'z3']",[10.6100296668],"[0.5827, 0.6359, 0.638, 0.72]",cF104,202,B6H6K
412,aP6-H2S-2,"['aei', 'i']","['a', 'b/a', 'c/a', 'alpha', 'beta', 'gamma']","['x3', 'y3', 'z3', 'x4', 'y4', 'z4']","[2.7804, 1.00438785786, 1.53100273342, 78.28, 76.53, 70.42]","[0.259, 0.415, 0.663, 0.192, 0.183, 0.255]",aP6,2,H2S
413,tP24-BCTh-91,"['d', 'd', 'd']","['a', 'c/a']","['x1', 'y1', 'z1', 'x2', 'y2', 'z2', 'x3', 'y3', 'z3']","[3.7620082462, 6.71079213192]","[0.303, 0.202, 0.019, 0.296, 0.189, 0.08, 0.2975, 0.1983, 0.1795]",tP24,91,BCTh
414,cF104-F6KP-209,"['j', 'a', 'b']",['a'],"['x3', 'y3', 'z3']",[7.7099775082],"[0.043, 0.109, 0.165]",cF104,209,F6KP
415,hP26-BaCo4O7Yb-159,"['b', 'ac', 'acc', 'b']","['a', 'c/a']","['z1', 'z2', 'z3', 'z4', 'x5', 'y5', 'z5', 'x6', 'y6', 'z6', 'x7', 'y7', 'z7']","[6.2653109789, 1.6324735851]","[0.0, 0.3057, 0.0613, 0.4379, 0.3425, 0.1575, 0.2472, 0.0015, 0.5149, 0.3102, 0.3347, 0.1157, 0.0618]",hP26,159,BaCo4O7Yb
416,oP20-C2Cr3-62,"['cc', 'ccc']","['a', 'b/a', 'c/a']","['x1', 'z1', 'x2', 'z2', 'x3', 'z3', 'x4', 'z4', 'x5', 'z5']","[5.5329, 0.511305102207, 2.07339731425]","[0.1008, 0.2055, 0.2432, -0.0464, 0.0157, 0.4015, 0.1808, 0.7737, 0.8691, -0.0688]",oP20,62,C2Cr3
417,mP6-Cl2Pd-10,"['mn', 'bg']","['a', 'b/a', 'c/a', 'beta']","['x3', 'z3', 'x4', 'z4']","[4.012, 0.819541375872, 2.93668993021, 97.03]","[0.843, 0.126, 0.558, 0.644]",mP6,10,Cl2Pd
418,oP12-SrH2-62,"['cc', 'c']","['a', 'b/a', 'c/a']","['x1', 'z1', 'x2', 'z2', 'x3', 'z3']","[3.875, 1.64232258065, 1.89496774194]","[0.004, 0.758, 0.24, 0.07, 0.24, 0.39]",oP12,62,SrH2
419,oP48-Be-61,"['ccc', 'ccc']","['a', 'b/a', 'c/a']","['x1', 'y1', 'z1', 'x2', 'y2', 'z2', 'x3', 'y3', 'z3', 'x4', 'y4', 'z4', 'x5', 'y5', 'z5', 'x6', 'y6', 'z6']","[6.914, 1.08128435059, 1.38313566676]","[0.1297, 0.5762, 0.40803, 0.1235, 0.6328, 0.54518, 0.0057, 0.4432, 0.36289, 0.2172, 0.6275, 0.346, 0.2068, 0.7225, 0.5756, 0.0095, 0.4051, 0.2704]",oP48,61,Be
420,cP16-H3P-208,"['j', 'b']",['a'],['x2'],[6.31],[0.184],cP16,208,H3P
421,oI14-B4Ta3-71,"['gh', 'cg']","['a', 'b/a', 'c/a']","['y2', 'y3', 'y4']","[3.29, 4.25531914894, 0.951367781155]","[0.375, 0.18, 0.444]",oI14,71,B4Ta3
422,tP10-NbTe4-124,"['a', 'm']","['a', 'c/a']","['x2', 'y2']","[6.4989671731, 1.05200800123]","[0.1425, 0.3361]",tP10,124,NbTe4
423,oC16-CdK2Pb-40,"['a', 'bb', 'b']","['a', 'b/a', 'c/a']","['z1', 'y2', 'z2', 'y3', 'z3', 'y4', 'z4']","[6.4580033647, 1.33199132859, 1.69634561784]","[0.0, 0.3467, 0.1773, 0.8661, 0.3301, 0.7281, 0.0093]",oC16,40,CdK2Pb
424,oC28-Al2Se4Sr-66,"['l', 'kl', 'a']","['a', 'b/a', 'c/a']","['z2', 'x3', 'y3', 'x4', 'y4']","[6.2700590867, 1.72567783094, 1.73046251993]","[0.833, 0.005, 0.268, 0.737, 0.42]",oC28,66,Al2Se4Sr
425,oP20-Bi3Sr2-52,"['de', 'cd']","['a', 'b/a', 'c/a']","['z1', 'x2', 'x3', 'x4', 'y4', 'z4']","[15.5832022616, 0.434585119311, 0.426069989123]","[0.443, 0.4294, 0.0001, 0.6539, 0.064, 0.0788]",oP20,52,Bi3Sr2
426,tP32-MgNiSn-101,"['bde', 'ade', 'd']","['a', 'c/a']","['z1', 'z2', 'x3', 'z3', 'x4', 'z4', 'x5', 'z5', 'x6', 'y6', 'z6', 'x7', 'y7', 'z7']","[9.8510697809, 0.697188102729]","[0.0, 0.4692, 0.17136, 0.73945, 0.2254, 0.3402, 0.30926, 0.0086, 0.2384, 0.5244, 0.2259, 0.0352, 0.3449, 0.0281]",tP32,101,MgNiSn
427,cI72-O2Si-211,"['hi', 'i']",['a'],"['y1', 'y2', 'y3']",[9.68882],"[0.37338, 0.15866, 0.38235]",cI72,211,O2Si
428,hR24-BKO2-167,"['e', 'e', 'ee']","['a', 'c/a']","['x1', 'x2', 'x3', 'x4']","[12.76, 0.575235109718]","[1.1389, 0.8113, 1.0343, 0.3584]",hR24,167,BKO2
429,oC24-H2S-64,"['ff', 'f']","['a', 'b/a', 'c/a']","['y1', 'z1', 'y2', 'z2', 'y3', 'z3']","[2.9986, 1.44314013206, 2.534682852]","[0.372, 0.27, 0.6, 0.092, 0.371, 0.615]",oC24,64,H2S
430,oP16-C-55,['gghh'],"['a', 'b/a', 'c/a']","['x1', 'y1', 'x2', 'y2', 'x3', 'y3', 'x4', 'y4']","[7.7886, 0.613101199189, 0.320442698303]","[0.6731, -0.037, 0.8435, 0.8087, -0.0454, 0.8613, 0.5704, 0.8926]",oP16,55,C
431,oC24-Fe2KS3-63,"['e', 'c', 'cg']","['a', 'b/a', 'c/a']","['y1', 'y2', 'x3', 'x4', 'y4']","[9.049, 1.21770361366, 0.600176815118]","[0.6699, 0.1191, 0.8502, 0.2174, 0.3859]",oC24,63,Fe2KS3
432,oI44-AlF7MgNa2-24,"['a', 'bddd', 'c', 'ac']","['a', 'b/a', 'c/a']","['x1', 'x2', 'y3', 'z4', 'z5', 'x6', 'y6', 'z6', 'x7', 'y7', 'z7', 'x8', 'y8', 'z8']","[7.0501914381, 1.035035461, 1.41546099291]","[0.7511, 0.2496, 0.1361, -0.0003, 0.5002, 0.7501, 0.2213, 0.3356, 0.5662, 0.0681, 0.1362, -0.0648, 0.0709, 0.1385]",oI44,24,AlF7MgNa2
433,oC6-HTa2-21,"['a', 'k']","['a', 'b/a', 'c/a']",['z2'],"[3.3982513, 1.3943496174, 1.40170688639]",[0.268],oC6,21,HTa2
434,hR26-Al8Cr5-160,"['abbbc', 'abbb']","['a', 'c/a']","['x1', 'x2', 'x3', 'y3', 'x4', 'y4', 'x5', 'y5', 'x6', 'y6', 'x7', 'y7', 'x8', 'y8', 'x9', 'y9', 'z9']","[12.71838, 0.624030733474]","[0.672, 0.194, 0.654, 0.01201, 0.349, 0.58199, 0.722, 0.35601, 1.003, -0.20599, 0.998, -0.66, 0.355, 1.00601, 1.033, -0.339, 0.28799]",hR26,160,Al8Cr5
435,tI24-Co5Ge7-107,"['ac', 'abd']","['a', 'c/a']","['z1', 'z2', 'z3', 'x4', 'z4', 'x5', 'z5']","[7.6400197048, 0.760471204184]","[0.0, 0.056, 0.04, 0.22, 0.0, 0.243, 0.29]",tI24,107,Co5Ge7
436,oP40-Al2O3-33,"['aaaa', 'aaaaaa']","['a', 'b/a', 'c/a']","['x1', 'y1', 'z1', 'x2', 'y2', 'z2', 'x3', 'y3', 'z3', 'x4', 'y4', 'z4', 'x5', 'y5', 'z5', 'x6', 'y6', 'z6', 'x7', 'y7', 'z7', 'x8', 'y8', 'z8', 'x9', 'y9', 'z9', 'x10', 'y10', 'z10']","[4.8437, 1.71975968784, 1.84873134174]","[0.6787, 0.8416, 0.0, 0.1846, 0.3432, 0.7868, 0.8115, 0.6489, 0.6972, 0.6677, 0.4696, 0.9993, 0.329, 0.8313, 0.8927, 0.0248, 0.4908, 0.6292, 0.4717, 0.6647, 0.6381, 0.5145, 0.6728, 0.1212, 0.8608, 0.3301, 0.8662, 0.336, 0.4992, 0.9]",oP40,33,Al2O3
437,hP24-Cu3P-165,"['bdg', 'f']","['a', 'c/a']","['z2', 'x3', 'x4', 'y4', 'z4']","[7.07, 1.00919377652]","[0.17, 0.38, 0.69, 0.07, 0.08]",hP24,165,Cu3P
438,hP30-Cl3KNi-185,"['cd', 'c', 'ab']","['a', 'c/a']","['z1', 'z2', 'x3', 'z3', 'x4', 'z4', 'x5', 'y5', 'z5']","[11.795090915, 0.502416278086]","[0.0, 0.377, 0.1598, 0.2396, 0.6647, 0.1706, 0.1732, 0.5056, 0.1148]",hP30,185,Cl3KNi
439,cF608-H]6OTe[-210,"['hhhh', 'hh', 'e']",['a'],"['x1', 'x2', 'y2', 'z2', 'x3', 'y3', 'z3', 'x4', 'y4', 'z4', 'x5', 'y5', 'z5', 'x6', 'y6', 'z6', 'x7', 'y7', 'z7']",[16.4321054599],"[0.3771, 0.0157, 0.2009, 0.1224, 0.5287, 0.1425, 0.0068, 0.0949, 0.2596, 0.2225, 0.6117, 0.1785, 0.0224, 0.0928, 0.2607, 0.1616, 0.0194, 0.0793, 0.3503]",cF608,210,H]6OTe[
440,oC260-La43Mg5Ni17-63,"['cffffffffghhhhhh', 'cfg', 'cefffhh']","['a', 'b/a', 'c/a']","['y1', 'y2', 'y3', 'x4', 'y5', 'z5', 'y6', 'z6', 'y7', 'z7', 'y8', 'z8', 'y9', 'z9', 'y10', 'z10', 'y11', 'z11', 'y12', 'z12', 'y13', 'z13', 'y14', 'z14', 'y15', 'z15', 'y16', 'z16', 'x17', 'y17', 'x18', 'y18', 'x19', 'y19', 'z19', 'x20', 'y20', 'z20', 'x21', 'y21', 'z21', 'x22', 'y22', 'z22', 'x23', 'y23', 'z23', 'x24', 'y24', 'z24', 'x25', 'y25', 'z25', 'x26', 'y26', 'z26']","[10.11895, 1.73974572461, 4.16742843872]","[0.38998, 0.0432, 0.5987, 0.1275, 0.13992, 0.17412, 0.7278, 0.20648, 0.19723, 0.62632, 0.1388, 0.02884, 0.39065, 0.0988, 0.06788, 0.55569, 0.59876, 0.1328, 0.28079, 0.54761, 0.0678, 0.6912, 0.07797, 0.09224, 0.45337, 0.1675, 0.43146, 0.0091, 0.18607, 0.20422, 0.3338, 0.3774, 0.18828, 0.32898, 0.174, 0.19344, 0.2014, 0.10123, 0.30731, 0.03499, 0.20655, 0.30495, 0.49596, 0.12681, 0.19578, 0.33018, 0.026, 0.31697, 0.03483, 0.04522, 0.2812, 0.17213, 0.16828, 0.2807, 0.35936, 0.09067]",oC260,63,La43Mg5Ni17
441,tI48-NbO2-80,"['bb', 'bbbb']","['a', 'c/a']","['x1', 'y1', 'z1', 'x2', 'y2', 'z2', 'x3', 'y3', 'z3', 'x4', 'y4', 'z4', 'x5', 'y5', 'z5', 'x6', 'y6', 'z6']","[9.693, 0.617455896007]","[0.2621, 0.5076, 0.0299, 0.2455, 0.4909, 0.4804, 0.3974, 0.1497, 0.0077, 0.1102, 0.3642, -0.0098, 0.6086, 0.3609, 0.5064, 0.65, 0.1038, 0.2484]",tI48,80,NbO2
442,oI48-Ag[CKO3]-73,"['d', 'e', 'e', 'ef']","['a', 'b/a', 'c/a']","['y1', 'z2', 'z3', 'z4', 'x5', 'y5', 'z5']","[5.7750411261, 1.02926406926, 3.53056277057]","[0.63427, 0.3734, 0.18032, 0.311, 0.1349, 0.6124, 0.0967]",oI48,73,Ag[CKO3]
443,tI24-Cu2F8GdNa-97,"['d', 'k', 'a', 'b']","['a', 'c/a']","['x4', 'y4', 'z4']","[5.4068544677, 1.92010356944]","[0.1697, 0.3128, 0.1237]",tI24,97,Cu2F8GdNa
444,tP18-Cl6K2Sn-128,"['eh', 'd', 'a']","['a', 'c/a']","['z3', 'x4', 'y4']","[7.057532571, 1.41383170154]","[0.2523, 0.2217, 0.2511]",tP18,128,Cl6K2Sn
445,tP18-F6Li2Mo-94,"['eg', 'c', 'a']","['a', 'c/a']","['z2', 'x3', 'x4', 'y4', 'z4']","[4.6863209101, 1.96124874637]","[0.6623, 0.7093, 0.684, 0.707, 0.6579]",tP18,94,F6Li2Mo
446,oC28-Al6Mn-63,"['efg', 'c']","['a', 'b/a', 'c/a']","['y1', 'x2', 'y3', 'z3', 'x4', 'y4']","[7.5551, 0.860266574896, 1.17435904224]","[0.45686, 0.32602, 0.13917, 0.10039, 0.31768, 0.28622]",oC28,63,Al6Mn
447,tP12-HgI2-115,"['j', 'egi']","['a', 'c/a']","['z1', 'z2', 'x3', 'x4', 'z4']","[8.7863400452, 0.701854022742]","[0.0288, 0.0315, 0.26398, 0.24918, 0.24945]",tP12,115,HgI2
448,oC8-FeSe-67,"['a', 'g']","['a', 'b/a', 'c/a']",['z2'],"[5.32495, 0.997010300566, 1.02896740814]",[0.26686],oC8,67,FeSe
449,cF192-B7ClMg3O13-219,"['de', 'b', 'c', 'ah']",['a'],"['x5', 'x6', 'y6', 'z6']",[12.0986],"[0.0808, 0.0987, 0.0214, 0.1821]",cF192,219,B7ClMg3O13
450,oP24-P5Tl-26,"['aaabbbcc', 'ab']","['a', 'b/a', 'c/a']","['y1', 'z1', 'y2', 'z2', 'y3', 'z3', 'y4', 'z4', 'y5', 'z5', 'y6', 'z6', 'y7', 'z7', 'y8', 'z8', 'x9', 'y9', 'z9', 'x10', 'y10', 'z10']","[6.465013742, 1.07113689096, 1.87440061873]","[0.1628, 0.2907, 0.112, 0.0, 0.1452, 0.8256, 0.4859, 0.1227, 0.1146, 0.0096, 0.3286, 0.1358, 0.1565, 0.2905, 0.7214, 0.2818, 0.2489, 0.2854, 0.3947, 0.249, 0.0963, 0.5436]",oP24,26,P5Tl
451,tP5-P2Rh3-115,"['g', 'ag']","['a', 'c/a']","['z2', 'z3']","[3.3269188443, 1.84881274424]","[0.253, 0.6308]",tP5,115,P2Rh3
452,cF224-H6O6Te-228,"['h', 'c']",['a'],"['x2', 'y2', 'z2']",[15.4800297791],"[0.043, 0.138, 0.278]",cF224,228,H6O6Te
453,oC64-I3Th-66,"['klmm', 'bdl']","['a', 'b/a', 'c/a']","['z3', 'x4', 'y4', 'x5', 'y5', 'x6', 'y6', 'z6', 'x7', 'y7', 'z7']","[8.735, 2.32364052662, 1.67842014883]","[0.1826, -0.0318, 0.1994, 0.327, 0.1716, 0.2894, 0.451, 0.1302, 0.1133, 0.3773, 0.3708]",oC64,66,I3Th
454,cP16-Ag3[O4]P-218,"['c', 'e', 'a']",['a'],['x3'],[6.0258147002],[0.6486],cP16,218,Ag3[O4]P
455,oC16-CuHoP2-67,"['b', 'g', 'ag']","['a', 'b/a', 'c/a']","['z3', 'z4']","[5.2729860526, 1.00606865161, 1.82912952778]","[0.765, 0.3403]",oC16,67,CuHoP2
456,tI8-Cl2Hg2-139,"['e', 'e']","['a', 'c/a']","['z1', 'z2']","[4.4795, 2.43451278044]","[0.3356, 0.119]",tI8,139,Cl2Hg2
457,hP28-N4Si3-159,"['abcc', 'cc']","['a', 'c/a']","['z1', 'z2', 'x3', 'y3', 'z3', 'x4', 'y4', 'z4', 'x5', 'y5', 'z5', 'x6', 'y6', 'z6']","[7.7479899913, 0.724961280333]","[0.0, 0.3649, 0.0424, 0.3891, 0.0408, 0.3169, 0.3198, 0.2712, 0.0821, 0.5089, 0.3172, 0.1712, 0.2563, 0.0274]",hP28,159,N4Si3
458,hP18-Al9FeMg3Si5-189,"['fi', 'a', 'g', 'bh']","['a', 'c/a']","['x3', 'x4', 'z5', 'x6', 'z6']","[6.6, 1.19696969697]","[0.378, 0.43, 0.266, 0.755, 0.236]",hP18,189,Al9FeMg3Si5
459,oC16-CeTe3-40,"['b', 'bbb']","['a', 'b/a', 'c/a']","['y1', 'z1', 'y2', 'z2', 'y3', 'z3', 'y4', 'z4']","[4.3850022361, 5.92335058951, 0.997331752147]","[0.83109, 0.0, 0.70417, 0.0021, 0.56971, 0.4966, -0.07002, 0.4978]",oC16,40,CeTe3
460,hP21-Al4H]OO13[Ta3-143,"['bd', 'acdddd', 'd']","['a', 'c/a']","['z1', 'z2', 'z3', 'x4', 'y4', 'z4', 'x5', 'y5', 'z5', 'x6', 'y6', 'z6', 'x7', 'y7', 'z7', 'x8', 'y8', 'z8', 'x9', 'y9', 'z9']","[7.3813879247, 0.611841213925]","[0.0, 0.305, 0.497, 0.453, 0.09, 0.302, 0.087, 0.605, 0.536, 0.253, 0.059, 0.583, 0.141, 0.429, 0.08, 0.444, 0.296, 0.071, 0.2215, 0.2757, 0.806]",hP21,143,Al4H]OO13[Ta3
461,tI32-Si3W5-140,"['ah', 'bk']","['a', 'c/a']","['x3', 'x4', 'y4']","[9.64, 0.515560165975]","[0.17, 0.074, 0.223]",tI32,140,Si3W5
462,oP20-BrCuSe3-53,"['e', 'g', 'hi']","['a', 'b/a', 'c/a']","['x1', 'y2', 'y3', 'z3', 'x4', 'y4', 'z4']","[14.3630679002, 0.312469539787, 0.535821207264]","[0.6826, 0.2856, 0.3458, 0.2708, 0.6247, 0.6057, 0.3575]",oP20,53,BrCuSe3
463,oP6-Cl2Pd-58,"['g', 'a']","['a', 'b/a', 'c/a']","['x2', 'y2']","[3.7572, 2.89952624295, 0.89063664431]","[0.3326, 0.63309]",oP6,58,Cl2Pd
464,tP24-Ca2MgO7Si2-113,"['e', 'a', 'cef', 'e']","['a', 'c/a']","['z2', 'x3', 'z3', 'x4', 'z4', 'x5', 'z5', 'x6', 'y6', 'z6']","[7.8338, 0.639306594501]","[0.8201, 0.8324, 0.4935, 0.6407, 0.7471, 0.6396, 0.0642, 0.0798, 0.1862, 0.7856]",tP24,113,Ca2MgO7Si2
465,tI12-Si2Th-141,"['e', 'a']","['a', 'c/a']",['z2'],"[3.785, 2.51360634082]",[0.08306],tI12,141,Si2Th
466,hP72-Al[O4]P-184,"['d', 'dddd', 'd']","['a', 'c/a']","['x1', 'y1', 'z1', 'x2', 'y2', 'z2', 'x3', 'y3', 'z3', 'x4', 'y4', 'z4', 'x5', 'y5', 'z5', 'x6', 'y6', 'z6']","[13.7178848276, 0.616168537688]","[0.45652, 0.12053, 0.0, 0.42, 0.2069, 0.071, 0.1224, 0.4519, 0.2982, 0.3629, 0.0019, 0.0649, 0.1538, 0.5737, 0.0602, 0.12298, 0.4525, 0.12746]",hP72,184,Al[O4]P
467,mC16-C-12,['iiii'],"['a', 'b/a', 'c/a', 'beta']","['x1', 'z1', 'x2', 'z2', 'x3', 'z3', 'x4', 'z4']","[9.089, 0.274617669711, 0.451534822313, 96.96]","[-0.0572, 0.1206, 0.4419, 0.3467, 0.7858, -0.0594, 0.2715, 0.4149]",mC16,12,C
468,tP6-O2Zr-137,"['d', 'a']","['a', 'c/a']",['z2'],"[3.64008007, 1.4478021978]",[0.565],tP6,137,O2Zr
469,hP8-Cl3U-176,"['h', 'c']","['a', 'c/a']","['x2', 'y2']","[7.4429335392, 0.580545478976]","[0.375, 0.083]",hP8,176,Cl3U
470,hP16-Ge5Sm3-190,"['bdh', 'g']","['a', 'c/a']","['x3', 'x4', 'y4']","[6.9236970109, 1.22634969237]","[0.3313, 0.0628, 0.6682]",hP16,190,Ge5Sm3
471,hP28-Al5Co2-194,"['ahk', 'ch']","['a', 'c/a']","['x3', 'x4', 'x5', 'z5']","[7.656, 0.991771159875]","[0.533, 0.872, 0.196, 0.439]",hP28,194,Al5Co2
472,mP6-LiSn-10,"['en', 'am']","['a', 'b/a', 'c/a', 'beta']","['x3', 'z3', 'x4', 'z4']","[5.1700416367, 0.61508704062, 1.49709864605, 104.5]","[0.234, 0.66, 0.263, 0.336]",mP6,10,LiSn
473,oP20-Rh2S3-60,"['d', 'cd']","['a', 'b/a', 'c/a']","['y1', 'x2', 'y2', 'z2', 'x3', 'y3', 'z3']","[8.4598035458, 0.706855791961, 0.724586288418]","[0.547, 0.394, 0.75, 0.033, 0.348, 0.611, 0.396]",oP20,60,Rh2S3
474,tI4-GaSb-119,"['c', 'a']","['a', 'c/a']",[],"[5.4790101504, 0.558496075934]",[],tI4,119,GaSb
475,mP120-C7H8-14,"['eeeeeeeeeeeeee', 'eeeeeeeeeeeeeeee']","['a', 'b/a', 'c/a', 'beta']","['x1', 'y1', 'z1', 'x2', 'y2', 'z2', 'x3', 'y3', 'z3', 'x4', 'y4', 'z4', 'x5', 'y5', 'z5', 'x6', 'y6', 'z6', 'x7', 'y7', 'z7', 'x8', 'y8', 'z8', 'x9', 'y9', 'z9', 'x10', 'y10', 'z10', 'x11', 'y11', 'z11', 'x12', 'y12', 'z12', 'x13', 'y13', 'z13', 'x14', 'y14', 'z14', 'x15', 'y15', 'z15', 'x16', 'y16', 'z16', 'x17', 'y17', 'z17', 'x18', 'y18', 'z18', 'x19', 'y19', 'z19', 'x20', 'y20', 'z20', 'x21', 'y21', 'z21', 'x22', 'y22', 'z22', 'x23', 'y23', 'z23', 'x24', 'y24', 'z24', 'x25', 'y25', 'z25', 'x26', 'y26', 'z26', 'x27', 'y27', 'z27', 'x28', 'y28', 'z28', 'x29', 'y29', 'z29', 'x30', 'y30', 'z30']","[7.5889, 0.766725085322, 3.55545599494, 106.136]","[0.25252, 0.5751, 0.3402, 0.76924, 0.888, 0.47034, 0.13489, 0.3866, 0.33222, 0.8218, 0.8146, 0.42747, 0.12506, 0.2343, 0.29191, 0.78423, 0.9464, 0.38285, 0.23276, 0.2673, 0.25885, 0.69189, 0.1533, 0.38027, 0.34844, 0.4547, 0.26591, 0.63874, 0.2281, 0.42248, 0.35819, 0.6069, 0.3061, 0.67752, 0.0969, 0.46714, 0.26777, 0.7386, 0.3843, 0.8119, 0.7461, 0.51889, 0.0602, 0.3617, 0.3547, 0.8843, 0.6723, 0.4287, 0.0438, 0.1068, 0.2871, 0.822, 0.8945, 0.354, 0.2273, 0.1621, 0.2315, 0.6653, 0.243, 0.3497, 0.4219, 0.4796, 0.2431, 0.5754, 0.3699, 0.4209, 0.4385, 0.7352, 0.3104, 0.6409, 0.1506, 0.496, 0.9409, 0.7672, 0.5381, 0.7891, 0.5835, 0.5099, 0.7334, 0.7952, 0.5403, 0.2081, 0.8842, 0.3711, 0.3975, 0.7664, 0.4019, 0.2077, 0.6717, 0.4087]",mP120,14,C7H8
476,oC22-MoO8V2-35,"['a', 'abeee', 'e']","['a', 'b/a', 'c/a']","['z1', 'z2', 'z3', 'y4', 'z4', 'y5', 'z5', 'y6', 'z6', 'y7', 'z7']","[4.534758023, 1.1408839779, 2.72580110498]","[0.0, 0.5838, -0.042, 0.189, 0.5461, 0.0961, 0.122, 0.2982, 0.1399, 0.1866, 0.0038]",oC22,35,MoO8V2
477,hP18-Al8FeMg3Si6-189,"['bfh', 'a', 'g', 'i']","['a', 'c/a']","['x3', 'x4', 'z5', 'x6', 'z6']","[6.62, 1.20241691843]","[0.403, 0.444, 0.231, 0.75, 0.222]",hP18,189,Al8FeMg3Si6
478,hR42-Be2O4Si-148,"['ff', 'ffff', 'f']","['a', 'c/a']","['x1', 'y1', 'z1', 'x2', 'y2', 'z2', 'x3', 'y3', 'z3', 'x4', 'y4', 'z4', 'x5', 'y5', 'z5', 'x6', 'y6', 'z6', 'x7', 'y7', 'z7']","[12.4401, 0.661634552777]","[0.20546, -0.56835, 0.60961, 0.87265, 0.10211, -0.72078, 0.66221, -0.37042, -0.03997, 0.41696, -0.2507, 0.0834, 0.70548, 0.00275, 0.03736, 0.37614, -0.32772, 0.70785, 0.53815, -0.23404, -0.05466]",hR42,148,Be2O4Si
479,"oI50-Cu8(Fe,S12Sn2Zn)3-23","['bcfk', 'i', 'kkk', 'j', 'a']","['a', 'b/a', 'c/a']","['x4', 'z5', 'z6', 'x7', 'y7', 'z7', 'x8', 'y8', 'z8', 'x9', 'y9', 'z9', 'x10', 'y10', 'z10']","[10.767, 0.502554100492, 1.4969815176]","[0.2511, 0.3298, 0.1693, 0.2465, 0.0107, 0.1695, 0.1308, 0.2443, 0.0826, 0.3792, 0.7558, 0.0801, 0.1294, 0.7488, 0.2546]",oI50,23,"Cu8(Fe,S12Sn2Zn)3"
480,tI176-BBe[H4]2-110,"['bb', 'b', 'bbbbbbbb']","['a', 'c/a']","['x1', 'y1', 'z1', 'x2', 'y2', 'z2', 'x3', 'y3', 'z3', 'x4', 'y4', 'z4', 'x5', 'y5', 'z5', 'x6', 'y6', 'z6', 'x7', 'y7', 'z7', 'x8', 'y8', 'z8', 'x9', 'y9', 'z9', 'x10', 'y10', 'z10', 'x11', 'y11', 'z11']","[13.62003, 0.668135092213]","[0.5491, 0.8362, 0.259, 0.8065, 0.6386, 0.3704, 0.1998, 0.0869, 0.0, 0.5687, -0.0955, 0.3098, 0.6012, 0.7807, 0.2082, 0.5033, 0.7931, 0.3482, 0.6413, 0.5083, 0.4159, 0.8436, 0.6054, 0.2752, 0.8374, 0.7122, 0.3904, 0.7286, 0.645, 0.3515, 0.815, 0.5899, 0.4761]",tI176,110,BBe[H4]2
